id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Rebellion,Voltline,metal,angry,0.95,168,0.22,0.55,0.04
12,Velvet Ballad,Moonlit Sway,r&b,romantic,0.45,82,0.68,0.58,0.55
13,Golden Hour Drive,Sunset Parade,indie pop,happy,0.70,112,0.88,0.75,0.30
14,Broken Mirror,Grey Static,alt rock,sad,0.55,96,0.18,0.40,0.25
15,Warehouse Pulse,DJ Kinetic,house,energetic,0.89,128,0.72,0.91,0.03
16,Barnyard Stomp,Red Canyon,folk,energetic,0.75,140,0.70,0.68,0.65
17,Marble Halls,Aria Sostenuto,classical,calm,0.20,66,0.55,0.25,0.95
18,Concrete Kingdom,MC Uplift,hip hop,confident,0.80,95,0.70,0.85,0.08
19,Glacier Hum,Cold Signal,ambient,dreamy,0.25,68,0.45,0.30,0.15
20,Static Funeral,Grey Static,metal,aggressive,0.97,175,0.15,0.35,0.02
